Item,Enchantment,Description,Gems,Source
Helmet,Enchantment Infernal Blow Increased Damage Per Stack 1,Infernal Blow Debuff deals an additional 3% of Damage per Charge,Infernal Blow,Merciless Labyrinth
Helmet,Enchantment Infernal Blow Increased Damage Per Stack 2,Infernal Blow Debuff deals an additional 5% of Damage per Charge,Infernal Blow,Eternal Labyrinth
Helmet,Enchantment Infernal Cry Cooldown Speed 1,Infernal Cry has 20% increased Cooldown Recovery Rate,Infernal Cry,Merciless Labyrinth
Helmet,Enchantment Infernal Cry Cooldown Speed 2,Infernal Cry has 30% increased Cooldown Recovery Rate,Infernal Cry,Eternal Labyrinth
Helmet,Enchantment Intimidating Cry Area Of Effect 1,Intimidating Cry has 16% increased Area of Effect,Intimidating Cry,Merciless Labyrinth
Helmet,Enchantment Intimidating Cry Cooldown Speed 1,Intimidating Cry has 20% increased Cooldown Recovery Rate,Intimidating Cry,Merciless Labyrinth
Helmet,Enchantment Intimidating Cry Area Of Effect 2,Intimidating Cry has 24% increased Area of Effect,Intimidating Cry,Eternal Labyrinth
Helmet,Enchantment Intimidating Cry Cooldown Speed 2,Intimidating Cry has 30% increased Cooldown Recovery Rate,Intimidating Cry,Eternal Labyrinth
Helmet,Enchantment Kinetic Blast Explosions 1,Kinetic Blast has a 50% chance for an additional explosion,Kinetic Blast,Merciless Labyrinth
Helmet,Enchantment Kinetic Blast Explosions 2,Kinetic Blast has a 75% chance for an additional explosion,Kinetic Blast,Eternal Labyrinth
Helmet,Enchantment Kinetic Bolt Extra Bounces 1,Kinetic Bolt changes direction 1 additional time,Kinetic Bolt,Merciless Labyrinth
Helmet,Enchantment Kinetic Bolt Extra Bounces 2,Kinetic Bolt changes direction 2 additional times,Kinetic Bolt,Eternal Labyrinth
Helmet,Enchantment Kinetic Bolt Attack Speed 1,Kinetic Bolt has 10% increased Attack Speed,Kinetic Bolt,Merciless Labyrinth
Helmet,Enchantment Kinetic Bolt Attack Speed 2,Kinetic Bolt has 15% increased Attack Speed,Kinetic Bolt,Eternal Labyrinth
Helmet,Enchantment Kinetic Bolt Projectile Speed 1,Kinetic Bolt has 20% increased Projectile Speed,Kinetic Bolt,Merciless Labyrinth
Helmet,Enchantment Kinetic Bolt Projectile Speed 2,Kinetic Bolt has 30% increased Projectile Speed,Kinetic Bolt,Eternal Labyrinth
Helmet,Enchantment Double Slash Added Phys To Bleeding 2,Lacerate deals 14 to 25 added Physical Damage against Bleeding Enemies,Lacerate,Eternal Labyrinth
Helmet,Enchantment Double Slash Added Phys To Bleeding 1,Lacerate deals 4 to 15 added Physical Damage against Bleeding Enemies,Lacerate,Merciless Labyrinth
Helmet,Enchantment Lancing Steel Damage 1,Lancing Steel deals 25% increased Damage,Lancing Steel,Merciless Labyrinth
Helmet,Enchantment Lancing Steel Damage 2,Lancing Steel deals 40% increased Damage,Lancing Steel,Eternal Labyrinth
Helmet,Enchantment Lancing Steel Number of Additional Projectiles 1,Lancing Steel fires an additional Projectile,Lancing Steel,Eternal Labyrinth
Helmet,Enchantment Lancing Steel Chance To Not Consume Shards 1,Lancing Steel has 20% chance to count as consuming Steel Shards without Consuming them,Lancing Steel,Merciless Labyrinth
Helmet,Enchantment Lancing Steel Chance To Not Consume Shards 2,Lancing Steel has 30% chance to count as consuming Steel Shards without Consuming them,Lancing Steel,Eternal Labyrinth
Helmet,Enchantment Lightning Arrow Extra Targets 2,Lightning Arrow hits 2 additional Enemies,Lightning Arrow,Eternal Labyrinth
Helmet,Enchantment Lightning Arrow Extra Targets 1,Lightning Arrow hits an additional Enemy,Lightning Arrow,Merciless Labyrinth
Helmet,Enchantment Summon Lightning Golem Damage 1,Lightning Golems deal 25% increased Damage,Summon Lightning Golem,Merciless Labyrinth
Helmet,Enchantment Summon Lightning Golem Damage 2,Lightning Golems deal 40% increased Damage,Summon Lightning Golem,Eternal Labyrinth
Helmet,Enchantment Lightning Tower Trap Damage 1,Lightning Spire Trap deals 25% increased Damage,Lightning Spire Trap,Merciless Labyrinth
Helmet,Enchantment Lightning Tower Trap Damage 2,Lightning Spire Trap deals 40% increased Damage,Lightning Spire Trap,Eternal Labyrinth
Helmet,Enchantment Lightning Tower Trap Cooldown Speed 1,Lightning Spire Trap has 10% increased Cooldown Recovery Rate,Lightning Spire Trap,Merciless Labyrinth
Helmet,Enchantment Lightning Tower Trap Cast Speed 2,Lightning Spire Trap has 12% increased Cast Speed,Lightning Spire Trap,Eternal Labyrinth
Helmet,Enchantment Lightning Tower Trap Cooldown Speed 2,Lightning Spire Trap has 15% increased Cooldown Recovery Rate,Lightning Spire Trap,Eternal Labyrinth
Helmet,Enchantment Lightning Tower Trap Duration 1,Lightning Spire Trap has 20% increased Skill Effect Duration,Lightning Spire Trap,Merciless Labyrinth
Helmet,Enchantment Lightning Tower Trap Duration 2,Lightning Spire Trap has 30% increased Skill Effect Duration,Lightning Spire Trap,Eternal Labyrinth
Helmet,Enchantment Lightning Tower Trap Cast Speed 1,Lightning Spire Trap has 8% increased Cast Speed,Lightning Spire Trap,Merciless Labyrinth
Helmet,Enchantment Lightning Tower Trap Additional Beams 1,Lightning Spire Trap strikes an additional area,Lightning Spire Trap,Eternal Labyrinth
Helmet,Enchantment Lightning Strike Num Of Additional Projectiles 1,Lightning Strike fires 2 additional Projectiles,Lightning Strike,Merciless Labyrinth
Helmet,Enchantment Lightning Strike Num Of Additional Projectiles 2,Lightning Strike fires 3 additional Projectiles,Lightning Strike,Eternal Labyrinth
Helmet,Enchantment Lightning Strike Additional Pierce 1,Lightning Strike pierces 2 additional Targets,Lightning Strike,Merciless Labyrinth
Helmet,Enchantment Lightning Strike Additional Pierce 2,Lightning Strike pierces 3 additional Targets,Lightning Strike,Eternal Labyrinth
Helmet,Enchantment Lightning Trap Penetration 2,Lightning Trap Damage Penetrates 10% Lightning Resistance,Lightning Trap,Eternal Labyrinth
Helmet,Enchantment Lightning Trap Penetration 1,Lightning Trap Damage Penetrates 6% Lightning Resistance,Lightning Trap,Merciless Labyrinth
Helmet,Enchantment Lightning Trap Additional Pierce 1,Lightning Trap pierces 2 additional Targets,Lightning Trap,Merciless Labyrinth
Helmet,Enchantment Lightning Trap Additional Pierce 2,Lightning Trap pierces 3 additional Targets,Lightning Trap,Eternal Labyrinth
Helmet,Enchantment Magma Orb Num Of Additional Projectiles In Chain 1,Magma Orb Chains an additional time,Rolling Magma,Merciless Labyrinth
Helmet,Enchantment Malevolence Mana Reservation 1,Malevolence has 10% reduced Reservation,Malevolence,Merciless Labyrinth
Helmet,Enchantment Malevolence Mana Reservation 2,Malevolence has 15% reduced Reservation,Malevolence,Eternal Labyrinth
Helmet,Enchantment Manabond Low Mana Lightning Penetration 2,Manabond Penetrates 12% Lightning Resistance while on Low Mana,Manabond,Eternal Labyrinth
Helmet,Enchantment Manabond Low Mana Lightning Penetration 1,Manabond Penetrates 8% Lightning Resistance while on Low Mana,Manabond,Merciless Labyrinth
Helmet,Enchantment Mirror Arrow Damage 1,Mirror Arrow and Mirror Arrow Clones deal 25% increased Damage,Mirror Arrow,Merciless Labyrinth
Helmet,Enchantment Mirror Arrow Damage 2,Mirror Arrow and Mirror Arrow Clones deal 40% increased Damage,Mirror Arrow,Eternal Labyrinth
Helmet,Enchantment Mirror Arrow Attack Speed 1,Mirror Arrow and Mirror Arrow Clones have 10% increased Attack Speed,Mirror Arrow,Merciless Labyrinth
Helmet,Enchantment Mirror Arrow Attack Speed 2,Mirror Arrow and Mirror Arrow Clones have 15% increased Attack Speed,Mirror Arrow,Eternal Labyrinth
Helmet,Enchantment Mirror Arrow Cooldown Speed 1,Mirror Arrow has 20% increased Cooldown Recovery Rate,Mirror Arrow,Merciless Labyrinth
Helmet,Enchantment Mirror Arrow Cooldown Speed 2,Mirror Arrow has 30% increased Cooldown Recovery Rate,Mirror Arrow,Eternal Labyrinth
Helmet,Enchantment Molten Shell Duration 1,Molten Shell has 25% increased Skill Effect Duration,Molten Shell,Merciless Labyrinth
Helmet,Enchantment Molten Shell Duration 2,Molten Shell has 40% increased Skill Effect Duration,Molten Shell,Eternal Labyrinth
Helmet,Enchantment Molten Strike Num Of Additional Projectiles 2,Molten Strike fires 2 additional Projectiles,Molten Strike,Eternal Labyrinth
Helmet,Enchantment Molten Strike Num Of Additional Projectiles 1,Molten Strike fires an additional Projectile,Molten Strike,Merciless Labyrinth
Helmet,Enchantment Orb Of Storms Cast Speed 1,Orb of Storms has 20% increased Cast Speed,Orb of Storms,Merciless Labyrinth
Helmet,Enchantment Orb Of Storms Cast Speed 2,Orb of Storms has 30% increased Cast Speed,Orb of Storms,Eternal Labyrinth
Helmet,Enchantment Penance Brand Damage 1,Penance Brand deals 25% increased Damage,Penance Brand,Merciless Labyrinth
Helmet,Enchantment Penance Brand Damage 2,Penance Brand deals 40% increased Damage,Penance Brand,Eternal Labyrinth
Helmet,Enchantment Penance Brand Cast Speed 2,Penance Brand has 12% increased Cast Speed,Penance Brand,Eternal Labyrinth
Helmet,Enchantment Penance Brand Radius 1,Penance Brand has 16% increased Area of Effect,Penance Brand,Merciless Labyrinth
Helmet,Enchantment Penance Brand Radius 2,Penance Brand has 24% increased Area of Effect,Penance Brand,Eternal Labyrinth
Helmet,Enchantment Penance Brand Cast Speed 1,Penance Brand has 8% increased Cast Speed,Penance Brand,Merciless Labyrinth
Helmet,Enchantment Perforate Number Of Spikes 1,Perforate creates +1 Spike,Perforate,Merciless Labyrinth
Helmet,Enchantment Perforate Number Of Spikes 2,Perforate creates +2 Spikes,Perforate,Eternal Labyrinth
Helmet,Enchantment Perforate Damage 1,Perforate deals 25% increased Damage,Perforate,Merciless Labyrinth
Helmet,Enchantment Perforate Damage 2,Perforate deals 40% increased Damage,Perforate,Eternal Labyrinth
Helmet,Enchantment Perforate Area Of Effect 1,Perforate has 16% increased Area of Effect,Perforate,Merciless Labyrinth
Helmet,Enchantment Perforate Area Of Effect 2,Perforate has 24% increased Area of Effect,Perforate,Eternal Labyrinth
Helmet,Enchantment Pestilent Strike Damage 1,Pestilent Strike deals 25% increased Damage,Pestilent Strike,Merciless Labyrinth
Helmet,Enchantment Pestilent Strike Damage 2,Pestilent Strike deals 40% increased Damage,Pestilent Strike,Eternal Labyrinth
Helmet,Enchantment Pestilent Strike Area Of Effect 1,Pestilent Strike has 16% increased Area of Effect,Pestilent Strike,Merciless Labyrinth
Helmet,Enchantment Pestilent Strike Area Of Effect 2,Pestilent Strike has 24% increased Area of Effect,Pestilent Strike,Eternal Labyrinth
Helmet,Enchantment Pestilent Strike Duration 1,Pestilent Strike has 25% increased Duration,Pestilent Strike,Merciless Labyrinth
Helmet,Enchantment Pestilent Strike Duration 2,Pestilent Strike has 40% increased Duration,Pestilent Strike,Eternal Labyrinth
Helmet,Enchantment Petrified Blood Reservation 1,Petrified Blood has 14% reduced Reservation,Petrified Blood,Merciless Labyrinth
Helmet,Enchantment Petrified Blood Reservation 2,Petrified Blood has 20% reduced Reservation,Petrified Blood,Eternal Labyrinth
Helmet,Enchantment Plague Bearer Poison Dot Multiplier While Aura Active 1,Plague Bearer Buff grants +12% to Poison Damage over Time Multiplier while Infecting,Plague Bearer,Merciless Labyrinth
Helmet,Enchantment Plague Bearer Poison Dot Multiplier While Aura Active 2,Plague Bearer Buff grants +20% to Poison Damage over Time Multiplier while Infecting,Plague Bearer,Eternal Labyrinth
Helmet,Enchantment Plague Bearer Stored Poison Damage To Deal Per Second 1,Plague Bearer deals Damage based on an additional 3% of Plague Value,Plague Bearer,Merciless Labyrinth
Helmet,Enchantment Plague Bearer Stored Poison Damage To Deal Per Second 2,Plague Bearer deals Damage based on an additional 5% of Plague Value,Plague Bearer,Eternal Labyrinth
Helmet,Enchantment Power Siphon Additional Projectiles 2,Power Siphon fires 2 additional Projectiles,Power Siphon,Eternal Labyrinth
Helmet,Enchantment Power Siphon Additional Projectiles 1,Power Siphon fires an additional Projectile,Power Siphon,Merciless Labyrinth
Helmet,Enchantment Precision Mana Reservation 1,Precision has 20% reduced Reservation,Precision,Merciless Labyrinth
Helmet,Enchantment Precision Mana Reservation 2,Precision has 30% reduced Reservation,Precision,Eternal Labyrinth
Helmet,Enchantment Pride Mana Reservation 1,Pride has 10% reduced Reservation,Pride,Merciless Labyrinth
Helmet,Enchantment Pride Mana Reservation 2,Pride has 15% reduced Reservation,Pride,Eternal Labyrinth
Helmet,Enchantment Purifying Flame Damage 1,Purifying Flame deals 25% increased Damage,Purifying Flame,Merciless Labyrinth
Helmet,Enchantment Purifying Flame Damage 2,Purifying Flame deals 40% increased Damage,Purifying Flame,Eternal Labyrinth
Helmet,Enchantment Purifying Flame Area Of Effect When Targeting Consecrated Ground 1,Purifying Flame has 20% increased Area of Effect if targeting Consecrated Ground,Purifying Flame,Merciless Labyrinth
Helmet,Enchantment Purifying Flame Area Of Effect When Targeting Consecrated Ground 2,Purifying Flame has 30% increased Area of Effect if targeting Consecrated Ground,Purifying Flame,Eternal Labyrinth
Helmet,Enchantment Purity Of Elements Mana Reservation 1,Purity of Elements has 14% reduced Reservation,Purity of Elements,Merciless Labyrinth
Helmet,Enchantment Purity Of Elements Mana Reservation 2,Purity of Elements has 20% reduced Reservation,Purity of Elements,Eternal Labyrinth
Helmet,Enchantment Purity Of Fire Mana Reservation 1,Purity of Fire has 14% reduced Reservation,Purity of Fire,Merciless Labyrinth
Helmet,Enchantment Purity Of Fire Mana Reservation 2,Purity of Fire has 20% reduced Reservation,Purity of Fire,Eternal Labyrinth
Helmet,Enchantment Purity Of Ice Mana Reservation 1,Purity of Ice has 14% reduced Reservation,Purity of Ice,Merciless Labyrinth
Helmet,Enchantment Purity Of Ice Mana Reservation 2,Purity of Ice has 20% reduced Reservation,Purity of Ice,Eternal Labyrinth
Helmet,Enchantment Purity Of Lightning Mana Reservation 1,Purity of Lightning has 14% reduced Reservation,Purity of Lightning,Merciless Labyrinth
Helmet,Enchantment Purity Of Lightning Mana Reservation 2,Purity of Lightning has 20% reduced Reservation,Purity of Lightning,Eternal Labyrinth
Helmet,Enchantment Pyroclast Mine Damage 1,Pyroclast Mine deals 25% increased Damage,Pyroclast Mine,Merciless Labyrinth
Helmet,Enchantment Pyroclast Mine Damage 2,Pyroclast Mine deals 40% increased Damage,Pyroclast Mine,Eternal Labyrinth
Helmet,Enchantment Pyroclast Mine Additional Projectiles 2,Pyroclast Mine fires 2 additional Projectiles,Pyroclast Mine,Eternal Labyrinth
Helmet,Enchantment Pyroclast Mine Throwing Speed 1,Pyroclast Mine has 10% increased Throwing Speed,Pyroclast Mine,Merciless Labyrinth
Helmet,Enchantment Pyroclast Mine Throwing Speed 2,Pyroclast Mine has 15% increased Throwing Speed,Pyroclast Mine,Eternal Labyrinth
Helmet,Enchantment Rage Vortex Rage Sacrificed 1,Rage Vortex Sacrifices +3% of Rage,Rage Vortex,Merciless Labyrinth
Helmet,Enchantment Rage Vortex Rage Sacrificed 2,Rage Vortex Sacrifices +5% of Rage,Rage Vortex,Eternal Labyrinth
Helmet,Enchantment Rain Of Arrows Repeat Count 1,Rain of Arrows has 10% chance to fire an additional sequence of arrows,Rain of Arrows,Merciless Labyrinth
Helmet,Enchantment Rain Of Arrows Repeat Count 2,Rain of Arrows has 15% chance to fire an additional sequence of arrows,Rain of Arrows,Eternal Labyrinth
Helmet,Enchantment Raise Zombie Damage 1,Raised Zombies deal 25% increased Damage,Raise Zombie,Merciless Labyrinth
Helmet,Enchantment Raise Zombie Damage 2,Raised Zombies deal 40% increased Damage,Raise Zombie,Eternal Labyrinth
Helmet,Enchantment Zombie Elemental Resistances 1,Raised Zombies have +24% to Elemental Resistances,Raise Zombie,Merciless Labyrinth
Helmet,Enchantment Zombie Elemental Resistances 2,Raised Zombies have +36% to Elemental Resistances,Raise Zombie,Eternal Labyrinth
Helmet,Enchantment Zombie Attack Speed 1,Raised Zombies have 10% increased Attack Speed,Raise Zombie,Merciless Labyrinth
Helmet,Enchantment Zombie Attack Speed 2,Raised Zombies have 15% increased Attack Speed,Raise Zombie,Eternal Labyrinth
Helmet,Enchantment Rallying Cry Additional Exert 1,Rallying Cry Exerts 1 additional Attack,Rallying Cry,Eternal Labyrinth
Helmet,Enchantment Reap Damage 1,Reap deals 25% increased Damage,Reap,Merciless Labyrinth
Helmet,Enchantment Reap Damage 2,Reap deals 40% increased Damage,Reap,Eternal Labyrinth
Helmet,Enchantment Reckoning Cooldown Speed 1,Reckoning has 20% increased Cooldown Recovery Rate,Reckoning,Merciless Labyrinth
Helmet,Enchantment Reckoning Cooldown Speed 2,Reckoning has 30% increased Cooldown Recovery Rate,Reckoning,Eternal Labyrinth
Belt,Enchantment Rage,Recover 2% of Life when you Kill an Enemy while you have Rage,,Eternal Labyrinth of Potential
Boots,Enchantment Regeneration 2,Regenerate 1.5% of Life per second if you were Hit Recently,,Merciless Labyrinth
Boots,Enchantment Regeneration 1,Regenerate 1% of Life per second if you were Hit Recently,,Cruel Labyrinth
Boots,Enchantment Regeneration 3,Regenerate 2% of Life per second if you were Hit Recently,,Eternal Labyrinth
Helmet,Enchantment Righteous Fire Spell Damage 1,Righteous Fire grants 20% increased Spell Damage,Righteous Fire,Merciless Labyrinth
Helmet,Enchantment Righteous Fire Spell Damage 2,Righteous Fire grants 30% increased Spell Damage,Righteous Fire,Eternal Labyrinth
Helmet,Enchantment Riposte Cooldown Speed 1,Riposte has 20% increased Cooldown Recovery Rate,Riposte,Merciless Labyrinth
Helmet,Enchantment Riposte Cooldown Speed 2,Riposte has 30% increased Cooldown Recovery Rate,Riposte,Eternal Labyrinth
Helmet,Enchantment Rolling Magma Num Of Additional Projectiles In Chain 2,Rolling Magma Chains an additional time,Rolling Magma,Eternal Labyrinth
Helmet,Enchantment Rune Blast Teleport 1,Rune Blast teleports you to the detonated Rune if you have not detonated Runes in the past 1 second,Rune Blast,Merciless Labyrinth
Helmet,Enchantment Rune Blast Teleport 2,Rune Blast teleports you to the detonated Rune if you have not detonated Runes in the past 1.5 seconds,Rune Blast,Eternal Labyrinth
Helmet,Enchantment Bladestorm Sandstorm Speed 1,Sand Bladestorms move with 50% increased speed,Bladestorm,Merciless Labyrinth
Helmet,Enchantment Bladestorm Sandstorm Speed 2,Sand Bladestorms move with 75% increased speed,Bladestorm,Eternal Labyrinth
Helmet,Enchantment Scourge Arrow Additional Spore 1,Scourge Arrow creates an additional spore pod at Maximum Stages,Scourge Arrow,Eternal Labyrinth
Helmet,Enchantment Scourge Arrow Damage 1,Scourge Arrow deals 25% increased Damage,Scourge Arrow,Merciless Labyrinth
Helmet,Enchantment Scourge Arrow Damage 2,Scourge Arrow deals 40% increased Damage,Scourge Arrow,Eternal Labyrinth
Helmet,Enchantment Scourge Arrow Chance To Poison 1,Scourge Arrow has 6% chance to Poison per Stage,Scourge Arrow,Merciless Labyrinth
Helmet,Enchantment Scourge Arrow Chance To Poison 2,Scourge Arrow has 8% chance to Poison per Stage,Scourge Arrow,Eternal Labyrinth
Helmet,Enchantment Seismic Cry Minimum Power 1,Seismic Cry has a minimum of 10 Power,Seismic Cry,Eternal Labyrinth
Helmet,Enchantment Physical Cascade Trap Damage 1,Seismic Trap deals 25% increased Damage,Seismic Trap,Merciless Labyrinth
Helmet,Enchantment Physical Cascade Trap Damage 2,Seismic Trap deals 40% increased Damage,Seismic Trap,Eternal Labyrinth
Helmet,Enchantment Physical Cascade Cooldown Speed 1,Seismic Trap has 10% increased Cooldown Recovery Rate,Seismic Trap,Merciless Labyrinth
Helmet,Enchantment Physical Cascade Cooldown Speed 2,Seismic Trap has 15% increased Cooldown Recovery Rate,Seismic Trap,Eternal Labyrinth
Helmet,Enchantment Physical Cascade Trap Duration 1,Seismic Trap has 20% increased Skill Effect Duration,Seismic Trap,Merciless Labyrinth
Helmet,Enchantment Physical Cascade Trap Duration 2,Seismic Trap has 30% increased Skill Effect Duration,Seismic Trap,Eternal Labyrinth
Helmet,Enchantment Physical Cascade Additional Cascades 1,Seismic Trap releases an additional Wave,Seismic Trap,Eternal Labyrinth
Helmet,Enchantment Shattering Steel Damage 1,Shattering Steel deals 25% increased Damage,Shattering Steel,Merciless Labyrinth
Helmet,Enchantment Shattering Steel Damage 2,Shattering Steel deals 40% increased Damage,Shattering Steel,Eternal Labyrinth
Helmet,Enchantment Shattering Steel Fortify On Hit Close Range 1,Shattering Steel grants Fortify on Hitting an Enemy at Close Range,Shattering Steel,Eternal Labyrinth
Helmet,Enchantment Shattering Steel Chance to Not Consume Shards 1,Shattering Steel has 20% chance to not consume Steel Shards,Shattering Steel,Merciless Labyrinth
Helmet,Enchantment Shattering Steel Chance to Not Consume Shards 2,Shattering Steel has 30% chance to not consume Steel Shards,Shattering Steel,Eternal Labyrinth
Helmet,Enchantment Shield Crush Central Cone Area 1,Shield Crush central wave has 16% more Area of Effect,Shield Crush,Merciless Labyrinth
Helmet,Enchantment Shield Crush Central Cone Area 2,Shield Crush central wave has 24% more Area of Effect,Shield Crush,Eternal Labyrinth
Helmet,Enchantment Shock Nova Larger Ring Damage 1,Shock Nova ring deals 40% increased Damage,Shock Nova,Merciless Labyrinth
Helmet,Enchantment Shock Nova Larger Ring Damage 2,Shock Nova ring deals 60% increased Damage,Shock Nova,Eternal Labyrinth
Helmet,Enchantment Shrapnel Ballista Additional Arrows 1,Shrapnel Ballista fires an additional Arrow,Shrapnel Ballista,Eternal Labyrinth
Helmet,Enchantment Shrapnel Ballista Projectile Speed 1,Shrapnel Ballista has 20% increased Projectile Speed,Shrapnel Ballista,Merciless Labyrinth
Helmet,Enchantment Shrapnel Ballista Projectile Speed 2,Shrapnel Ballista has 30% increased Projectile Speed,Shrapnel Ballista,Eternal Labyrinth
Helmet,Enchantment Shrapnel Ballista Extra Pierces 1,Shrapnel Ballista Pierces 4 additional Targets,Shrapnel Ballista,Merciless Labyrinth
Helmet,Enchantment Shrapnel Ballista Extra Pierces 2,Shrapnel Ballista Pierces 6 additional Targets,Shrapnel Ballista,Eternal Labyrinth
Helmet,Enchantment Siege Ballista Damage 1,Siege Ballista deals 25% increased Damage,Siege Ballista,Merciless Labyrinth
Helmet,Enchantment Siege Ballista Damage 2,Siege Ballista deals 40% increased Damage,Siege Ballista,Eternal Labyrinth
Helmet,Enchantment Siege Ballista Attack Speed 1,Siege Ballista has 10% increased Attack Speed,Siege Ballista,Merciless Labyrinth
Helmet,Enchantment Siege Ballista Attack Speed 2,Siege Ballista has 15% increased Attack Speed,Siege Ballista,Eternal Labyrinth
Helmet,Enchantment Siege Ballista Totem Placement Speed 1,Siege Ballista has 30% increased Totem Placement Speed,Siege Ballista,Merciless Labyrinth
Helmet,Enchantment Siege Ballista Totem Placement Speed 2,Siege Ballista has 45% increased Totem Placement Speed,Siege Ballista,Eternal Labyrinth
Helmet,Enchantment Sigil of Power Upgrade Cost 1,Sigil of Power requires 10% reduced Mana Spent to gain a Stage,Sigil of Power,Merciless Labyrinth
Helmet,Enchantment Sigil of Power Upgrade Cost 2,Sigil of Power requires 20% reduced Mana Spent to gain a Stage,Sigil of Power,Eternal Labyrinth
Helmet,Enchantment Sigil of Power Critical Strike Chance 1,Sigil of Power's Buff also grants 20% increased Critical Strike Chance per Stage,Sigil of Power,Merciless Labyrinth
Helmet,Enchantment Sigil of Power Critical Strike Chance 2,Sigil of Power's Buff also grants 30% increased Critical Strike Chance per Stage,Sigil of Power,Eternal Labyrinth
Helmet,Enchantment Ice Siphon Trap Damage 1,Siphoning Trap deals 25% increased Damage,Siphoning Trap,Merciless Labyrinth
Helmet,Enchantment Ice Siphon Trap Damage 2,Siphoning Trap deals 40% increased Damage,Siphoning Trap,Eternal Labyrinth
Helmet,Enchantment Ice Siphon Trap Chill Effect 1,Siphoning Trap has 25% increased Chill Effect,Siphoning Trap,Merciless Labyrinth
Helmet,Enchantment Ice Siphon Trap Duration 1,Siphoning Trap has 30% increased Skill Effect Duration,Siphoning Trap,Merciless Labyrinth
Helmet,Enchantment Ice Siphon Trap Chill Effect 2,Siphoning Trap has 40% increased Chill Effect,Siphoning Trap,Eternal Labyrinth
Helmet,Enchantment Ice Siphon Trap Duration 2,Siphoning Trap has 45% increased Skill Effect Duration,Siphoning Trap,Eternal Labyrinth
Helmet,Enchantment Ice Siphon Trap Damage Taken 1,Siphoning Trap's beam to you grants 1% reduced Damage taken for each other beam,Siphoning Trap,Eternal Labyrinth
Helmet,Enchantment Summon Skeletons Damage 1,Skeletons deal 25% increased Damage,Summon Skeletons,Merciless Labyrinth
Helmet,Enchantment Summon Skeletons Damage 2,Skeletons deal 40% increased Damage,Summon Skeletons,Eternal Labyrinth
Helmet,Enchantment Spellslinger Reservation 1,Skills Supported by Spellslinger have 10% reduced Mana Reservation,Spellslinger,Merciless Labyrinth
Helmet,Enchantment Spellslinger Reservation 2,Skills Supported by Spellslinger have 15% reduced Mana Reservation,Spellslinger,Eternal Labyrinth
Helmet,Enchantment Spellslinger Cooldown Recovery 1,Skills Supported by Spellslinger have 20% increased Cooldown Recovery Rate,Spellslinger,Merciless Labyrinth
Helmet,Enchantment Spellslinger Cooldown Recovery 2,Skills Supported by Spellslinger have 30% increased Cooldown Recovery Rate,Spellslinger,Eternal Labyrinth
Helmet,Enchantment Smite Damage 1,Smite deals 25% increased Damage,Smite,Merciless Labyrinth
Helmet,Enchantment Smite Damage 2,Smite deals 40% increased Damage,Smite,Eternal Labyrinth
Helmet,Enchantment Smite Aura Effect 1,Smite has 20% increased Aura Effect,Smite,Merciless Labyrinth
Helmet,Enchantment Smite Aura Effect 2,Smite has 30% increased Aura Effect,Smite,Eternal Labyrinth
Helmet,Enchantment Smite Additional Target Chance 1,Smite has a 10% chance for lightning to strike another target,Smite,Merciless Labyrinth
Helmet,Enchantment Smite Additional Target Chance 2,Smite has a 15% chance for lightning to strike another target,Smite,Eternal Labyrinth
Helmet,Enchantment Smoke Mine Movement Speed 1,Smoke Mine grants additional 20% increased Movement Speed,Smoke Mine,Merciless Labyrinth
Helmet,Enchantment Smoke Mine Movement Speed 2,Smoke Mine grants additional 30% increased Movement Speed,Smoke Mine,Eternal Labyrinth
Helmet,Enchantment Projectile Weakness Curse Effect 1,Sniper's Mark has 20% increased Curse Effect,Sniper's Mark,Merciless Labyrinth
Helmet,Enchantment Projectile Weakness Curse Effect 2,Sniper's Mark has 30% increased Curse Effect,Sniper's Mark,Eternal Labyrinth
Helmet,Enchantment Projectile Weakness Duration 1,Sniper's Mark has 30% increased Duration,Sniper's Mark,Merciless Labyrinth
Helmet,Enchantment Projectile Weakness Duration 2,Sniper's Mark has 45% increased Duration,Sniper's Mark,Eternal Labyrinth
Helmet,Enchantment Soulrend Applies Hinder Movement Speed 1,"Soulrend also Hinders Enemies, with 25% reduced Movement Speed",Soulrend,Merciless Labyrinth
Helmet,Enchantment Soulrend Applies Hinder Movement Speed 2,"Soulrend also Hinders Enemies, with 40% reduced Movement Speed",Soulrend,Eternal Labyrinth
Helmet,Enchantment Soulrend Damage 1,Soulrend deals 25% increased Damage,Soulrend,Merciless Labyrinth
Helmet,Enchantment Soulrend Damage 2,Soulrend deals 40% increased Damage,Soulrend,Eternal Labyrinth
Helmet,Enchantment Soulrend Number Of Additional Projectiles 1,Soulrend fires an additional Projectile,Soulrend,Eternal Labyrinth
Helmet,Enchantment Spark Num Of Additional Projectiles 1,Spark fires 2 additional Projectiles,Spark,Merciless Labyrinth
Helmet,Enchantment Spark Num Of Additional Projectiles 2,Spark fires 3 additional Projectiles,Spark,Eternal Labyrinth
Helmet,Enchantment Spectral Helix Extra Rotation,Spectral Helix Projectile spirals through +1 rotations,Spectral Helix,Eternal Labyrinth
Helmet,Enchantment Spectral Shield Throw Num Of Additional Projectiles 1,Spectral Shield Throw fires 3 additional Shard Projectiles,Spectral Shield Throw,Merciless Labyrinth
