Name,Source,Description,Gem
Enchantment Plague Bearer Poison Dot Multiplier While Aura Active 2,Eternal Labyrinth,Plague Bearer Buff grants +20% to Poison Damage over Time Multiplier while Infecting,Plague Bearer
Enchantment Plague Bearer Stored Poison Damage To Deal Per Second 1,Merciless Labyrinth,Plague Bearer deals Damage based on an additional 3% of Plague Value,Plague Bearer
Enchantment Plague Bearer Stored Poison Damage To Deal Per Second 2,Eternal Labyrinth,Plague Bearer deals Damage based on an additional 5% of Plague Value,Plague Bearer
Enchantment Poachers Mark Curse Effect 1,Merciless Labyrinth,20% increased Poacher's Mark Curse Effect,Poacher's Mark
Enchantment Poachers Mark Curse Effect 2,Eternal Labyrinth,30% increased Poacher's Mark Curse Effect,Poacher's Mark
Enchantment Poachers Mark Duration 1,Merciless Labyrinth,30% increased Poacher's Mark Duration,Poacher's Mark
Enchantment Poachers Mark Duration 2,Eternal Labyrinth,45% increased Poacher's Mark Duration,Poacher's Mark
Enchantment Power Siphon Additional Projectiles 1,Merciless Labyrinth,Power Siphon fires an additional Projectile,Power Siphon
Enchantment Power Siphon Additional Projectiles 2,Eternal Labyrinth,Power Siphon fires 2 additional Projectiles,Power Siphon
Enchantment Power Siphon Attack Speed 1,Merciless Labyrinth,10% increased Power Siphon Attack Speed,Power Siphon
Enchantment Power Siphon Attack Speed 2,Eternal Labyrinth,15% increased Power Siphon Attack Speed,Power Siphon
Enchantment Power Siphon Damage 1,Merciless Labyrinth,25% increased Power Siphon Damage,Power Siphon
Enchantment Power Siphon Damage 2,Eternal Labyrinth,40% increased Power Siphon Damage,Power Siphon
Enchantment Power Siphon Percent Chance To Gain Power Charge On Kill 1,Merciless Labyrinth,30% Chance to gain an additional Power Charge on Kill with Power Siphon,Power Siphon
Enchantment Power Siphon Percent Chance To Gain Power Charge On Kill 2,Eternal Labyrinth,45% Chance to gain an additional Power Charge on Kill with Power Siphon,Power Siphon
Enchantment Precision Mana Reservation 1,Merciless Labyrinth,Precision has 20% reduced Mana Reservation,Precision
Enchantment Precision Mana Reservation 2,Eternal Labyrinth,Precision has 30% reduced Mana Reservation,Precision
Enchantment Pride Mana Reservation 1,Merciless Labyrinth,Pride has 10% reduced Mana Reservation,Pride
Enchantment Pride Mana Reservation 2,Eternal Labyrinth,Pride has 15% reduced Mana Reservation,Pride
Enchantment Projectile Weakness Curse Effect 1,Merciless Labyrinth,20% increased Projectile Weakness Curse Effect,Projectile Weakness
Enchantment Projectile Weakness Curse Effect 2,Eternal Labyrinth,30% increased Projectile Weakness Curse Effect,Projectile Weakness
Enchantment Projectile Weakness Duration 1,Merciless Labyrinth,30% increased Projectile Weakness Duration,Projectile Weakness
Enchantment Projectile Weakness Duration 2,Eternal Labyrinth,45% increased Projectile Weakness Duration,Projectile Weakness
Enchantment Puncture Damage 1,Merciless Labyrinth,25% increased Puncture Damage,Puncture
Enchantment Puncture Damage 2,Eternal Labyrinth,40% increased Puncture Damage,Puncture
Enchantment Puncture Duration 1,Merciless Labyrinth,30% increased Puncture Duration,Puncture
Enchantment Puncture Duration 2,Eternal Labyrinth,45% increased Puncture Duration,Puncture
Enchantment Puncture Maim On Hit Percent Chance 1,Merciless Labyrinth,20% Chance for Puncture to Maim on hit,Puncture
Enchantment Puncture Maim On Hit Percent Chance 2,Eternal Labyrinth,30% Chance for Puncture to Maim on hit,Puncture
Enchantment Punishment Curse Effect 1,Merciless Labyrinth,20% increased Punishment Curse Effect,Punishment
Enchantment Punishment Curse Effect 2,Eternal Labyrinth,30% increased Punishment Curse Effect,Punishment
Enchantment Punishment Duration 1,Merciless Labyrinth,30% increased Punishment Duration,Punishment
Enchantment Punishment Duration 2,Eternal Labyrinth,45% increased Punishment Duration,Punishment
Enchantment Purifying Flame Area Of Effect When Targeting Consecrated Ground 1,Merciless Labyrinth,Purifying Flame has 20% increased Area of Effect if targeting Consecrated Ground,Purifying Flame
Enchantment Purifying Flame Area Of Effect When Targeting Consecrated Ground 2,Eternal Labyrinth,Purifying Flame has 30% increased Area of Effect if targeting Consecrated Ground,Purifying Flame
Enchantment Purifying Flame Consecrated Ground Enemy Damage Taken 1,Merciless Labyrinth,Consecrated Ground from Purifying Flame applies 6% increased Damage taken to Enemies,Purifying Flame
Enchantment Purifying Flame Consecrated Ground Enemy Damage Taken 2,Eternal Labyrinth,Consecrated Ground from Purifying Flame applies 9% increased Damage taken to Enemies,Purifying Flame
Enchantment Purifying Flame Damage 1,Merciless Labyrinth,Purifying Flame deals 25% increased Damage,Purifying Flame
Enchantment Purifying Flame Damage 2,Eternal Labyrinth,Purifying Flame deals 40% increased Damage,Purifying Flame
Enchantment Purity Of Elements Mana Reservation 1,Merciless Labyrinth,Purity of Elements has 14% reduced Mana Reservation,Purity of Elements
Enchantment Purity Of Elements Mana Reservation 2,Eternal Labyrinth,Purity of Elements has 20% reduced Mana Reservation,Purity of Elements
Enchantment Purity Of Fire Mana Reservation 1,Merciless Labyrinth,Purity of Fire has 14% reduced Mana Reservation,Purity of Fire
Enchantment Purity Of Fire Mana Reservation 2,Eternal Labyrinth,Purity of Fire has 20% reduced Mana Reservation,Purity of Fire
Enchantment Purity Of Ice Mana Reservation 1,Merciless Labyrinth,Purity of Ice has 14% reduced Mana Reservation,Purity of Ice
Enchantment Purity Of Ice Mana Reservation 2,Eternal Labyrinth,Purity of Ice has 20% reduced Mana Reservation,Purity of Ice
Enchantment Purity Of Lightning Mana Reservation 1,Merciless Labyrinth,Purity of Lightning has 14% reduced Mana Reservation,Purity of Lightning
Enchantment Purity Of Lightning Mana Reservation 2,Eternal Labyrinth,Purity of Lightning has 20% reduced Mana Reservation,Purity of Lightning
Enchantment Rain Of Arrows Attack Speed 1,Merciless Labyrinth,10% increased Rain of Arrows Attack Speed,Rain of Arrows
Enchantment Rain Of Arrows Attack Speed 2,Eternal Labyrinth,15% increased Rain of Arrows Attack Speed,Rain of Arrows
Enchantment Rain Of Arrows Damage 1,Merciless Labyrinth,25% increased Rain of Arrows Damage,Rain of Arrows
Enchantment Rain Of Arrows Damage 2,Eternal Labyrinth,40% increased Rain of Arrows Damage,Rain of Arrows
Enchantment Rain Of Arrows Area Of Effect 1,Merciless Labyrinth,8% increased Rain of Arrows Area of Effect,Rain of Arrows
Enchantment Rain Of Arrows Area Of Effect 2,Eternal Labyrinth,12% increased Rain of Arrows Area of Effect,Rain of Arrows
Enchantment Rain Of Arrows Repeat Count 1,Merciless Labyrinth,Rain of Arrows has 10% chance to fire an additional sequence of arrows,Rain of Arrows
Enchantment Rain Of Arrows Repeat Count 2,Eternal Labyrinth,Rain of Arrows has 15% chance to fire an additional sequence of arrows,Rain of Arrows
Enchantment Raise Spectre Damage 1,Merciless Labyrinth,Spectres have 25% increased Damage,Raise Spectre
Enchantment Raise Spectre Damage 2,Eternal Labyrinth,Spectres have 40% increased Damage,Raise Spectre
Enchantment Raise Zombie Damage 1,Merciless Labyrinth,Raised Zombies deal 25% increased Damage,Raise Zombie
Enchantment Raise Zombie Damage 2,Eternal Labyrinth,Raised Zombies deal 40% increased Damage,Raise Zombie
Enchantment Rallying Cry Buff Effect 1,Merciless Labyrinth,50% increased Rallying Cry Buff Effect,Rallying Cry
Enchantment Rallying Cry Buff Effect 2,Eternal Labyrinth,75% increased Rallying Cry Buff Effect,Rallying Cry
Enchantment Rallying Cry Duration 1,Merciless Labyrinth,30% increased Rallying Cry Duration,Rallying Cry
Enchantment Rallying Cry Duration 2,Eternal Labyrinth,45% increased Rallying Cry Duration,Rallying Cry
Enchantment Reave Damage 1,Merciless Labyrinth,25% increased Reave Damage,Reave
Enchantment Reave Damage 2,Eternal Labyrinth,40% increased Reave Damage,Reave
Enchantment Reave Area Of Effect 1,Merciless Labyrinth,8% increased Reave Radius,Reave
Enchantment Reave Area Of Effect 2,Eternal Labyrinth,12% increased Reave Radius,Reave
Enchantment Reckoning Cooldown Speed 1,Merciless Labyrinth,20% increased Reckoning Cooldown Recovery Speed,Reckoning
Enchantment Reckoning Cooldown Speed 2,Eternal Labyrinth,30% increased Reckoning Cooldown Recovery Speed,Reckoning
Enchantment Reckoning Damage 1,Merciless Labyrinth,25% increased Reckoning Damage,Reckoning
Enchantment Reckoning Damage 2,Eternal Labyrinth,40% increased Reckoning Damage,Reckoning
Enchantment Rejuvination Totem Life Regeneration 1,Merciless Labyrinth,30% increased Rejuvenation Totem Aura Effect,Rejuvenation Totem
Enchantment Rejuvination Totem Life Regeneration 2,Eternal Labyrinth,45% increased Rejuvenation Totem Aura Effect,Rejuvenation Totem
Enchantment Rejuvination Totem Percent Life Regeneration Added As Mana Regeneration 1,Merciless Labyrinth,Gain 10% of Rejuvenation Totem Life Regeneration as extra Mana Regeneration,Rejuvenation Totem
Enchantment Rejuvination Totem Percent Life Regeneration Added As Mana Regeneration 2,Eternal Labyrinth,Gain 15% of Rejuvenation Totem Life Regeneration as extra Mana Regeneration,Rejuvenation Totem
Enchantment Righteous Fire Damage 1,Merciless Labyrinth,25% increased Righteous Fire Damage,Righteous Fire
Enchantment Righteous Fire Damage 2,Eternal Labyrinth,40% increased Righteous Fire Damage,Righteous Fire
Enchantment Righteous Fire Area Of Effect 1,Merciless Labyrinth,8% increased Righteous Fire Area of Effect,Righteous Fire
Enchantment Righteous Fire Area Of Effect 2,Eternal Labyrinth,12% increased Righteous Fire Area of Effect,Righteous Fire
Enchantment Righteous Fire Spell Damage 1,Merciless Labyrinth,Righteous Fire grants 20% increased Spell Damage,Righteous Fire
Enchantment Righteous Fire Spell Damage 2,Eternal Labyrinth,Righteous Fire grants 30% increased Spell Damage,Righteous Fire
Enchantment Riposte Cooldown Speed 1,Merciless Labyrinth,20% increased Riposte Cooldown Recovery Speed,Riposte
Enchantment Riposte Cooldown Speed 2,Eternal Labyrinth,30% increased Riposte Cooldown Recovery Speed,Riposte
Enchantment Riposte Damage 1,Merciless Labyrinth,25% increased Riposte Damage,Riposte
Enchantment Riposte Damage 2,Eternal Labyrinth,40% increased Riposte Damage,Riposte
Enchantment Scourge Arrow Additional Spore 1,Eternal Labyrinth,Scourge Arrow creates an additional spore pod at Maximum Stages,Scourge Arrow
Enchantment Scourge Arrow Chance To Poison 1,Merciless Labyrinth,Scourge Arrow has 6% chance to Poison per Stage,Scourge Arrow
Enchantment Scourge Arrow Chance To Poison 2,Eternal Labyrinth,Scourge Arrow has 8% chance to Poison per Stage,Scourge Arrow
Enchantment Scourge Arrow Damage 1,Merciless Labyrinth,Scourge Arrow deals 25% increased Damage,Scourge Arrow
Enchantment Scourge Arrow Damage 2,Eternal Labyrinth,Scourge Arrow deals 40% increased Damage,Scourge Arrow
Enchantment Searing Bond Damage 1,Merciless Labyrinth,25% increased Searing Bond Damage,Searing Bond
Enchantment Searing Bond Damage 2,Eternal Labyrinth,40% increased Searing Bond Damage,Searing Bond
Enchantment Searing Bond Totem Elemental Resistances 1,Merciless Labyrinth,24% increased Searing Bond Totem Elemental Resistances,Searing Bond
Enchantment Searing Bond Totem Elemental Resistances 2,Eternal Labyrinth,36% increased Searing Bond Totem Elemental Resistances,Searing Bond
Enchantment Searing Bond Totem Placement Speed 1,Merciless Labyrinth,40% increased Searing Bond Totem Placement Speed,Searing Bond
Enchantment Searing Bond Totem Placement Speed 2,Eternal Labyrinth,60% increased Searing Bond Totem Placement Speed,Searing Bond
Enchantment Shattering Steel Additional Projectile 1,Eternal Labyrinth,Shattering Steel fires an additional Projectile,Shattering Steel
Enchantment Shattering Steel Damage 1,Merciless Labyrinth,Shattering Steel deals 25% increased Damage,Shattering Steel
Enchantment Shattering Steel Damage 2,Eternal Labyrinth,Shattering Steel deals 40% increased Damage,Shattering Steel
Enchantment Shattering Steel Fortify On Hit Close Range 1,Eternal Labyrinth,Shattering Steel grants Fortify on Hitting an Enemy at Close Range,Shattering Steel
Enchantment Shield Charge Attack Speed 1,Merciless Labyrinth,10% increased Shield Charge Attack Speed,Shield Charge
Enchantment Shield Charge Attack Speed 2,Eternal Labyrinth,15% increased Shield Charge Attack Speed,Shield Charge
Enchantment Shield Charge Damage 1,Merciless Labyrinth,25% increased Shield Charge Damage,Shield Charge
Enchantment Shield Charge Damage 2,Eternal Labyrinth,40% increased Shield Charge Damage,Shield Charge
Enchantment Shock Nova Damage 1,Merciless Labyrinth,25% increased Shock Nova Damage,Shock Nova
Enchantment Shock Nova Damage 2,Eternal Labyrinth,40% increased Shock Nova Damage,Shock Nova
Enchantment Shock Nova Larger Ring Damage 1,Merciless Labyrinth,Shock Nova ring deals 40% increased Damage,Shock Nova
Enchantment Shock Nova Larger Ring Damage 2,Eternal Labyrinth,Shock Nova ring deals 60% increased Damage,Shock Nova
Enchantment Shock Nova Area Of Effect 1,Merciless Labyrinth,8% increased Shock Nova Area of Effect,Shock Nova
Enchantment Shock Nova Area Of Effect 2,Eternal Labyrinth,12% increased Shock Nova Area of Effect,Shock Nova
Enchantment Shockwave Totem Cast Speed 1,Merciless Labyrinth,10% increased Shockwave Totem Cast Speed,Shockwave Totem
Enchantment Shockwave Totem Cast Speed 2,Eternal Labyrinth,15% increased Shockwave Totem Cast Speed,Shockwave Totem
Enchantment Shockwave Totem Damage 1,Merciless Labyrinth,25% increased Shockwave Totem Damage,Shockwave Totem
Enchantment Shockwave Totem Damage 2,Eternal Labyrinth,40% increased Shockwave Totem Damage,Shockwave Totem
Enchantment Shockwave Totem Radius 1,Merciless Labyrinth,8% increased Shockwave Totem Area of Effect,Shockwave Totem
Enchantment Shockwave Totem Radius 2,Eternal Labyrinth,12% increased Shockwave Totem Area of Effect,Shockwave Totem
Enchantment Shrapnel Shot Damage 1,Merciless Labyrinth,25% increased Shrapnel Shot Damage,Shrapnel Shot
Enchantment Shrapnel Shot Damage 2,Eternal Labyrinth,40% increased Shrapnel Shot Damage,Shrapnel Shot
Enchantment Shrapnel Shot Physical Damage Percent To Add As Lightning Damage 1,Merciless Labyrinth,10% of Shrapnel Shot Physical Damage gained as extra Lightning Damage,Shrapnel Shot
Enchantment Shrapnel Shot Physical Damage Percent To Add As Lightning Damage 2,Eternal Labyrinth,15% of Shrapnel Shot Physical Damage gained as extra Lightning Damage,Shrapnel Shot
Enchantment Shrapnel Shot Radius 1,Merciless Labyrinth,8% increased Shrapnel Shot Area of Effect,Shrapnel Shot
Enchantment Shrapnel Shot Radius 2,Eternal Labyrinth,12% increased Shrapnel Shot Area of Effect,Shrapnel Shot
Enchantment Shrapnel Trap Damage 1,Merciless Labyrinth,Explosive Trap deals 25% increased Damage,Explosive Trap
Enchantment Shrapnel Trap Damage 2,Eternal Labyrinth,Explosive Trap deals 40% increased Damage,Explosive Trap
Enchantment Shrapnel Trap Radius 1,Merciless Labyrinth,Explosive Trap has 8% increased Area of Effect,Explosive Trap
Enchantment Shrapnel Trap Radius 2,Eternal Labyrinth,Explosive Trap has 12% increased Area of Effect,Explosive Trap
Enchantment Shrapnel Trap Secondary Explosions 1,Merciless Labyrinth,Explosive Trap causes an additional smaller explosion,Explosive Trap
Enchantment Shrapnel Trap Secondary Explosions 2,Eternal Labyrinth,Explosive Trap causes 2 additional smaller explosions,Explosive Trap
Enchantment Siege Ballista Attack Speed 1,Merciless Labyrinth,10% increased Siege Ballista Attack Speed,Siege Ballista
Enchantment Siege Ballista Attack Speed 2,Eternal Labyrinth,15% increased Siege Ballista Attack Speed,Siege Ballista
Enchantment Siege Ballista Damage 1,Merciless Labyrinth,25% increased Siege Ballista Damage,Siege Ballista
Enchantment Siege Ballista Damage 2,Eternal Labyrinth,40% increased Siege Ballista Damage,Siege Ballista
Enchantment Siege Ballista Totem Placement Speed 1,Merciless Labyrinth,30% increased Siege Ballista Totem Placement Speed,Siege Ballista
Enchantment Siege Ballista Totem Placement Speed 2,Eternal Labyrinth,45% increased Siege Ballista Totem Placement Speed,Siege Ballista
Enchantment Dark Pact Area Of Effect 1,Merciless Labyrinth,8% increased Dark Pact Area of Effect,Dark Pact
Enchantment Dark Pact Area Of Effect 2,Eternal Labyrinth,12% increased Dark Pact Area of Effect,Dark Pact
Enchantment Dack Pact Cast Speed 1,Merciless Labyrinth,8% increased Dark Pact Cast Speed,Dark Pact
Enchantment Dack Pact Cast Speed 2,Eternal Labyrinth,12% increased Dark Pact Cast Speed,Dark Pact
Enchantment Dark Pact Damage 1,Merciless Labyrinth,25% increased Dark Pact Damage,Dark Pact
Enchantment Dark Pact Damage 2,Eternal Labyrinth,40% increased Dark Pact Damage,Dark Pact
Enchantment Smite Additional Target Chance 1,Merciless Labyrinth,Smite has a 10% chance for lightning to strike another target,Smite
Enchantment Smite Additional Target Chance 2,Eternal Labyrinth,Smite has a 15% chance for lightning to strike another target,Smite
Enchantment Smite Aura Effect 1,Merciless Labyrinth,Smite has 20% increased Aura Effect,Smite
Enchantment Smite Aura Effect 2,Eternal Labyrinth,Smite has 30% increased Aura Effect,Smite
Enchantment Smite Damage 1,Merciless Labyrinth,Smite deals 25% increased Damage,Smite
Enchantment Smite Damage 2,Eternal Labyrinth,Smite deals 40% increased Damage,Smite
Enchantment Smoke Mine Duration 1,Merciless Labyrinth,20% increased Smoke Mine Duration,Smoke Mine
Enchantment Smoke Mine Duration 2,Eternal Labyrinth,30% increased Smoke Mine Duration,Smoke Mine
Enchantment Smoke Mine Movement Speed 1,Merciless Labyrinth,Smoke Mine grants additional 20% increased Movement Speed,Smoke Mine
Enchantment Smoke Mine Movement Speed 2,Eternal Labyrinth,Smoke Mine grants additional 30% increased Movement Speed,Smoke Mine
Enchantment Venom Gyre Chance To Retain Projectile On Release 2,Eternal Labyrinth,Venom Gyre has a 35% chance to keep caught Projectiles fired by using Whirling Blades,Venom Gyre
Enchantment Venom Gyre Damage 1,Merciless Labyrinth,Venom Gyre deals 25% increased Damage,Venom Gyre
Enchantment Venom Gyre Damage 2,Eternal Labyrinth,Venom Gyre deals 40% increased Damage,Venom Gyre
Enchantment Venom Gyre Withering On Hit Chance 1,Merciless Labyrinth,Venom Gyre has a 12% chance to inflict Withered for 2 seconds on Hit,Venom Gyre
Enchantment Venom Gyre Withering On Hit Chance 2,Eternal Labyrinth,Venom Gyre has a 20% chance to inflict Withered for 2 seconds on Hit,Venom Gyre
Enchantment Soulrend Applies Hinder Movement Speed 1,Merciless Labyrinth,"Soulrend also Hinders Enemies, with 25% reduced Movement Speed",Soulrend
Enchantment Soulrend Applies Hinder Movement Speed 2,Eternal Labyrinth,"Soulrend also Hinders Enemies, with 40% reduced Movement Speed",Soulrend
Enchantment Soulrend Damage 1,Merciless Labyrinth,Soulrend deals 25% increased Damage,Soulrend
Enchantment Soulrend Damage 2,Eternal Labyrinth,Soulrend deals 40% increased Damage,Soulrend
Enchantment Soulrend Number Of Additional Projectiles 1,Eternal Labyrinth,Soulrend fires an additional Projectile,Soulrend
Enchantment Spark Damage 1,Merciless Labyrinth,25% increased Spark Damage,Spark
Enchantment Spark Damage 2,Eternal Labyrinth,40% increased Spark Damage,Spark
Enchantment Spark Num Of Additional Projectiles 1,Merciless Labyrinth,Spark fires 2 additional Projectiles,Spark
Enchantment Spark Num Of Additional Projectiles 2,Eternal Labyrinth,Spark fires 3 additional Projectiles,Spark
Enchantment Spark Projectile Speed 1,Merciless Labyrinth,20% increased Spark Projectile Speed,Spark
Enchantment Spark Projectile Speed 2,Eternal Labyrinth,30% increased Spark Projectile Speed,Spark
Enchantment Spectral Shield Throw Damage 1,Merciless Labyrinth,25% increased Spectral Shield Throw Damage,Spectral Shield
Enchantment Spectral Shield Throw Damage 2,Eternal Labyrinth,40% increased Spectral Shield Throw Damage,Spectral Shield
Enchantment Spectral Shield Throw Num Of Additional Projectiles 1,Merciless Labyrinth,Spectral Shield Throw fires 3 additional Shard Projectiles,Spectral Shield
Enchantment Spectral Shield Throw Num Of Additional Projectiles 2,Eternal Labyrinth,Spectral Shield Throw fires 5 additional Shard Projectiles,Spectral Shield
Enchantment Spectral Shield Throw Projectile Speed 1,Merciless Labyrinth,20% increased Spectral Shield Throw Projectile Speed,Spectral Shield
Enchantment Spectral Shield Throw Projectile Speed 2,Eternal Labyrinth,30% increased Spectral Shield Throw Projectile Speed,Spectral Shield
Enchantment Spectral Throw Damage 1,Merciless Labyrinth,25% increased Spectral Throw Damage,Spectral Throw
Enchantment Spectral Throw Damage 2,Eternal Labyrinth,40% increased Spectral Throw Damage,Spectral Throw
Enchantment Spectral Throw Projectile Deceleration 1,Merciless Labyrinth,20% reduced Spectral Throw Projectile Deceleration,Spectral Throw
Enchantment Spectral Throw Projectile Deceleration 2,Eternal Labyrinth,30% reduced Spectral Throw Projectile Deceleration,Spectral Throw
Enchantment Spectral Throw Projectile Speed 1,Merciless Labyrinth,20% increased Spectral Throw Projectile Speed,Spectral Throw
Enchantment Spectral Throw Projectile Speed 2,Eternal Labyrinth,30% increased Spectral Throw Projectile Speed,Spectral Throw
Enchantment Spectre Attack And Cast Speed 1,Merciless Labyrinth,Spectres have 8% increased Attack and Cast Speed,Raise Spectre
Enchantment Spectre Attack And Cast Speed 2,Eternal Labyrinth,Spectres have 12% increased Attack and Cast Speed,Raise Spectre
Enchantment Spectre Elemental Resistances 1,Merciless Labyrinth,+24% to Raised Spectre Elemental Resistances,Raise Spectre
Enchantment Spectre Elemental Resistances 2,Eternal Labyrinth,+36% to Raised Spectre Elemental Resistances,Raise Spectre
Enchantment Spirit Offering Duration 1,Merciless Labyrinth,30% increased Spirit Offering Duration,Spirit Offering
Enchantment Spirit Offering Duration 2,Eternal Labyrinth,45% increased Spirit Offering Duration,Spirit Offering
Enchantment Spirit Offering Physical Added As Chaos 1,Merciless Labyrinth,Spirit Offering grants +8% of Physical Damage as Extra Chaos Damage,Spirit Offering
Enchantment Spirit Offering Physical Added As Chaos 2,Eternal Labyrinth,Spirit Offering grants +12% of Physical Damage as Extra Chaos Damage,Spirit Offering
Enchantment Split Arrow Critical Strike Chance 1,Merciless Labyrinth,60% increased Split Arrow Critical Strike Chance,Split Arrow
Enchantment Split Arrow Critical Strike Chance 2,Eternal Labyrinth,90% increased Split Arrow Critical Strike Chance,Split Arrow
Enchantment Split Arrow Damage 1,Merciless Labyrinth,25% increased Split Arrow Damage,Split Arrow
Enchantment Split Arrow Damage 2,Eternal Labyrinth,40% increased Split Arrow Damage,Split Arrow
Enchantment Split Arrow Num Of Additional Projectiles 1,Merciless Labyrinth,Split Arrow fires 2 additional Projectiles,Split Arrow
Enchantment Split Arrow Num Of Additional Projectiles 2,Eternal Labyrinth,Split Arrow fires 3 additional Projectiles,Split Arrow
Enchantment Static Strike Damage 1,Merciless Labyrinth,25% increased Static Strike Damage,Static Strike
Enchantment Static Strike Damage 2,Eternal Labyrinth,40% increased Static Strike Damage,Static Strike
Enchantment Static Strike Duration 1,Merciless Labyrinth,30% increased Static Strike Duration,Static Strike
Enchantment Static Strike Duration 2,Eternal Labyrinth,45% increased Static Strike Duration,Static Strike
Enchantment Static Strike Maximum Beam Targets 1,Merciless Labyrinth,Static Strike has +1 maximum Beam Targets,Static Strike
Enchantment Static Strike Maximum Beam Targets 2,Eternal Labyrinth,Static Strike has +2 maximum Beam Targets,Static Strike
Enchantment Static Strike Area Of Effect 1,Merciless Labyrinth,8% increased Static Strike Area of Effect,Static Strike
Enchantment Static Strike Area Of Effect 2,Eternal Labyrinth,12% increased Static Strike Area of Effect,Static Strike
Enchantment Steelskin Additional Physical Damage Reduction 1,Merciless Labyrinth,Steelskin grants 8% additional Physical Damage Reduction,Steelskin
Enchantment Steelskin Additional Physical Damage Reduction 2,Eternal Labyrinth,Steelskin grants 12% additional Physical Damage Reduction,Steelskin
Enchantment Steelskin Damage Limit 1,Merciless Labyrinth,Steelskin Buff can take 30% increased amount of Damage,Steelskin
Enchantment Steelskin Damage Limit 2,Eternal Labyrinth,Steelskin Buff can take 45% increased amount of Damage,Steelskin
Enchantment Stone Golem Elemental Resistances 1,Merciless Labyrinth,+24% to Stone Golem Elemental Resistances,Summon Stone Golem
Enchantment Stone Golem Elemental Resistances 2,Eternal Labyrinth,+36% to Stone Golem Elemental Resistances,Summon Stone Golem
Enchantment Stone Golem Granted Buff Effect 1,Merciless Labyrinth,100% increased Effect of the Buff granted by your Stone Golems,Summon Stone Golem
Enchantment Stone Golem Granted Buff Effect 2,Eternal Labyrinth,150% increased Effect of the Buff granted by your Stone Golems,Summon Stone Golem
Enchantment Storm Brand Damage 1,Merciless Labyrinth,Storm Brand deals 25% increased Damage,Storm Brand
Enchantment Storm Brand Damage 2,Eternal Labyrinth,Storm Brand deals 40% increased Damage,Storm Brand
Enchantment Storm Burst Additional Object Chance 1,Merciless Labyrinth,Storm Burst has a 10% chance to create an additional Orb,Storm Burst
Enchantment Storm Burst Additional Object Chance 2,Eternal Labyrinth,Storm Burst has a 15% chance to create an additional Orb,Storm Burst
Enchantment Storm Burst Damage 1,Merciless Labyrinth,25% increased Storm Burst Damage,Storm Burst
Enchantment Storm Burst Damage 2,Eternal Labyrinth,40% increased Storm Burst Damage,Storm Burst
Enchantment Storm Burst Area Of Effect 1,Merciless Labyrinth,8% increased Storm Burst Area of Effect,Storm Burst
Enchantment Storm Burst Area Of Effect 2,Eternal Labyrinth,12% increased Storm Burst Area of Effect,Storm Burst
Enchantment Storm Call Damage 1,Merciless Labyrinth,25% increased Storm Call Damage,Storm Call
Enchantment Storm Call Damage 2,Eternal Labyrinth,40% increased Storm Call Damage,Storm Call
Enchantment Storm Call Duration 1,Merciless Labyrinth,20% reduced Storm Call Duration,Storm Call
Enchantment Storm Call Duration 2,Eternal Labyrinth,30% reduced Storm Call Duration,Storm Call
Enchantment Storm Call Area Of Effect 1,Merciless Labyrinth,8% increased Storm Call Area of Effect,Storm Call
Enchantment Storm Call Area Of Effect 2,Eternal Labyrinth,12% increased Storm Call Area of Effect,Storm Call
Enchantment Orb of Storms Critical Strike Chance 1,Merciless Labyrinth,60% increased Orb of Storms Critical Strike Chance,Orb of Storms
Enchantment Orb of Storms Critical Strike Chance 2,Eternal Labyrinth,90% increased Orb of Storms Critical Strike Chance,Orb of Storms
Enchantment Orb of Storms Area Of Effect 1,Merciless Labyrinth,8% increased Orb of Storms Area of Effect,Orb of Storms
Enchantment Orb of Storms Area Of Effect 2,Eternal Labyrinth,12% increased Orb of Storms Area of Effect,Orb of Storms
Enchantment Summoned Raging Spirit Additional 1,Merciless Labyrinth,Summon Raging Spirit has 12% chance to summon an extra Minion,Summon Raging Spirit
Enchantment Summoned Raging Spirit Additional 2,Eternal Labyrinth,Summon Raging Spirit has 18% chance to summon an extra Minion,Summon Raging Spirit
Enchantment Summoned Raging Spirit Duration 1,Merciless Labyrinth,Summon Raging Spirit has 20% increased Duration,Summon Raging Spirit
Enchantment Summoned Raging Spirit Duration 2,Eternal Labyrinth,Summon Raging Spirit has 30% increased Duration,Summon Raging Spirit
Enchantment Summon Flame Golem Damage 1,Merciless Labyrinth,Flame Golems have 25% increased Damage,Summon Flame Golem
Enchantment Summon Flame Golem Damage 2,Eternal Labyrinth,Flame Golems have 40% increased Damage,Summon Flame Golem
Enchantment Summon Ice Golem Damage 1,Merciless Labyrinth,Ice Golems deal 25% increased Damage,Summon Ice Golem
Enchantment Summon Ice Golem Damage 2,Eternal Labyrinth,Ice Golems deal 40% increased Damage,Summon Ice Golem
Enchantment Summon Lightning Golem Damage 1,Merciless Labyrinth,Lightning Golems deal 25% increased Damage,Summon Lightning Golem
Enchantment Summon Lightning Golem Damage 2,Eternal Labyrinth,Lightning Golems deal 40% increased Damage,Summon Lightning Golem
Enchantment Summon Raging Spirit Damage 1,Merciless Labyrinth,Summoned Raging Spirits deal 25% increased Damage,Summon Raging Spirit
Enchantment Summon Raging Spirit Damage 2,Eternal Labyrinth,Summoned Raging Spirits deal 40% increased Damage,Summon Raging Spirit
